NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
N,107,SMK,EXIT_DELAY,OFFLINE,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,108,SMK,EXIT_DELAY,OFFLINE,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,109,SMK,EXIT_DELAY,OFFLINE,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,110,SMK,EXIT_DELAY,OFFLINE,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,DISARM,NO_SOUND,DISARM,20002,N
N,111,SMK,EXIT_DELAY,OFFLINE,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,112,SMK,EXIT_DELAY,LOW_BATTERY,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,113,SMK,EXIT_DELAY,LOW_BATTERY,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,114,SMK,EXIT_DELAY,LOW_BATTERY,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20002,N
N,115,SMK,EXIT_DELAY,LOW_BATTERY,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,116,SMK,EXIT_DELAY,LOW_BATTERY,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,117,SMK,EXIT_DELAY,LOW_BATTERY,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,118,SMK,EXIT_DELAY,LOW_BATTERY,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20002,N
N,119,SMK,EXIT_DELAY,LOW_BATTERY,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,120,SMK,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,121,SMK,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,122,SMK,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM,NO_SOUND,DISARM,20002,N
N,123,SMK,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,124,SMK,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
